File Name,Pathology_expert_1,Realism_expert_1,Composition_expert_1,Pose_expert_1,Consistency_expert_1,Pathology_expert_2,Realism_expert_2,Composition_expert_2,Pose_expert_2,Consistency_expert_2,prompt
abnormal_chin_projection_shown_using_two_images_with_these_two_different_poses_n.png,0,3,3,3.0,2,3.0,3.0,3.0,3.0,3.0,Abnormal chin projection shown using two images with these two different poses: 'Neutral sitting position with mouth closed. Frontal view of patient.' and 'Neutral sitting position with mouth closed. Lateral view of patient.'
abnormal_tilt_of_ear_shown_using_two_images_with_these_two_different_poses_neutr.png,3,3,3,3.0,3,3.0,3.0,3.0,3.0,3.0,"Abnormal tilt of ear shown using two images with these two different poses: 'Neutral sitting position, head facing forward. Frontal view of patient.' and 'Neutral sitting position, head turned to the side. Frontal view of patient.'"
arm_amputation_shown_using_two_images_with_these_two_different_poses_neutral_sta.png,3,3,3,3.0,1,,,,,,Arm amputation shown using two images with these two different poses: 'Neutral standing position. Frontal view of patient.' and 'Neutral standing position. Lateral view of patient.'
bakers_cyst_shown_using_two_images_with_these_two_different_poses_neutral_standi.png,3,2,3,3.0,2,,,,,,Baker's cyst shown using two images with these two different poses: 'Neutral standing position. Posterior view of patient.' and 'Neutral standing position. Lateral view of patient.'
broken_arm_closed_fracture_shown_using_two_images_with_these_two_different_poses.png,3,2,3,3.0,3,,,,,,Broken arm (closed fracture) shown using two images with these two different poses: 'Affected arm is outstretched on a flat surface. Superior view of patient.' and 'Both arms are outstretched on a flat surface for easy comparison. Superior view of patient.'
bunion_shown_using_two_images_with_these_two_different_poses_neutral_standing_po.png,3,3,3,3.0,2,,,,,,Bunion shown using two images with these two different poses: 'Neutral standing position. Superior view of patient's feet.' and 'Neutral standing position. Lateral view of patient's feet.'
cervical_lymphadenopathy_shown_using_two_images_with_these_two_different_poses_n.png,0,2,3,2.0,3,,,,,,"Cervical lymphadenopathy shown using two images with these two different poses: 'Neutral sitting position, head facing forward. Frontal view of patient.' and 'Neutral sitting position, head turned to the side. Frontal view of patient.'"
cleft_lip_restricting_motion_of_the_orbicularis_oris_shown_using_two_images_with.png,2,3,3,3.0,3,,,,,,Cleft lip restricting motion of the orbicularis oris shown using two images with these two different poses: 'Neutral facial expression. Frontal view of patient.' and 'Expression with lips pursed/puckered. Frontal view of patient.'
cleft_palate_shown_using_two_images_with_these_two_different_poses_neutral_facia.png,2,3,3,3.0,3,3.0,3.0,2.0,3.0,3.0,Cleft palate shown using two images with these two different poses: 'Neutral facial expression. Frontal view of patient.' and 'Mouth open. Frontal view of patient.'
clinodactyly_affecting_fingers_shown_using_two_images_with_these_two_different_p.png,3,3,3,3.0,3,0.0,3.0,3.0,3.0,3.0,"Clinodactyly affecting fingers shown using two images with these two different poses: 'Patient lifting hands up with fingers extended. Frontal view of patient.' and 'Both hands resting on a table, palm down and fingers extended to the extent possible. Superior view of patient.'"
